11/06/11,Sun,0844,Fire Response – Fire personnel responded to a report of smoke coming from an apartment.,
,,,,
11/06/11,Sun,0853,Ambulance Request – EMS personnel responded to a report of smoke coming from an apartment.,
,,,,
11/06/11,Sun,0854,Assistance Rendered – Officers assisted Fire Chief with an inspection of a building that was reportedly on fire.,
,,,,
11/06/11,Sun,1229,"Criminal Mischief – Driver reported the rear window of his vehicle had been broken, sometime in the previous four hours, while the vehicle was parked at the PacSteve dispatch office.  There was no indication of foul play and the damage was consistent with that caused by wind-blown objects.",
,,,,
11/06/11,Sun,1408,Assist Other Agency – AST brought an inmate from Akutan to be lodged in the Unalaska jail.,
,,,,
11/07/11,Mon,0943,Impound – A vehicle abandoned at a Unisea apartment was impounded.,
,,,,
11/07/11,Mon,1444,Harassment – Woman reported a man behaving strange when around her.  The man in question agreed to cease said offensive behavior.,
,,,,
11/07/11,Mon,1649,Assistance Rendered – Vehicle unlock.,
,,,,
11/07/11,Mon,1702,"Traffic Crime – A person saw someone driving on a sidewalk and contacted the driver, who admitted to drinking alcohol. A uniformed officer also spoke with the driver, who showed no signs of alcohol consumption and said he had lied to the “idiot who couldn’t mind his own business.”",
,,,,
11/07/11,Mon,1751,Traffic Crime – Caller reported a zippy driver had been tailgating her and had then passed her at about 10mph over the speed limit.,
,,,,
11/07/11,Mon,2112,PC Alcohol – An exceedingly inebriated man who had soiled himself and was unable to get up from the floor was taken into protective custody.,
,,,,
11/07/11,Mon,2317,Noise Disturbance – Apartment tenant reported her neighbors were loud and intoxicated and were disrupting her sleep.  An officer spoke with the neighbors and advised them of the complaint.,
,,,,
11/07/11,Mon,2318,Suspicious Person/Activity – Resident reported a man purporting to be a US Census Bureau worker had come to her door with outdated census forms and asked for household information.  The caller was advised to request official identification if the man returned.,
,,,,
11/08/11,Tue,1052,"Animal – A lost puppy was turned in, and later returned to its owner.",
,,,,
11/08/11,Tue,1147,Burn Permit - ,
,,,,
11/09/11,Wed,0146,"Public Safety – Officer watched three extremely intoxicated and giggling louts urinate on the road, on themselves, on one another, and on a taxi in front of the Harbor View Bar.  The wet-legged men abashedly explained to the admonishing officer they had been kicked out of the bar before having an opportunity to use the restroom there.",
,,,,
11/09/11,Wed,0458,"Ambulance Request – EMT personnel responded to the F/V Alaska Warrior regarding an unresponsive, possibly deceased individual.",
,,,,
11/09/11,Wed,0506,"Death Investigation – A crewman on board the F/V Alaska Warrior was found in his stateroom, dead of undetermined causes. Several persons of interest were identified.  Under investigation.",
,,,,
11/09/11,Wed,1033,Burn Permit - ,
,,,,
11/09/11,Wed,1318,Traffic Crime – Caller reported a driver had sped past her while she was fueling her vehicle.,
,,,,
11/09/11,Wed,1451,Animal – Citizen turned in a small puppy he had found in the Valley.,
,,,,
11/09/11,Wed,1629,Assistance Rendered – Officer located the owner of a vehicle abandoned at City Hall and advised him to have it moved forthwith.,
,,,,
11/10/11,Thu,0640,Traffic Crime – Citation issued to illegally parked vehicle at the airport.,
,,,,
11/10/11,Thu,0920,Public Safety – Caller reported a neighbor was feeding foxes.  Information passed on to State Fish & Wildlife Troopers.,
,,,,
11/10/11,Thu,1904,"MVA Damage – Caller reported she was leaving her vehicle, which had just lost a wheel, on the side of the road until she could get it towed.",
,,,,
11/11/11,Fri,0716,Traffic Crime – Citation issued to illegally parked vehicle at the airport.,
,,,,
